NTDLL dump: 
A_SHAFinal address: 0x775b93f0
A_SHAInit address: 0x775b92d0
A_SHAUpdate address: 0x775b9320
AlpcAdjustCompletionListConcurrencyCount address: 0x77671fb0
AlpcFreeCompletionListMessage address: 0x77671fe0
AlpcGetCompletionListLastMessageInformation address: 0x776720e0
AlpcGetCompletionListMessageAttributes address: 0x77672110
AlpcGetHeaderSize address: 0x775be610
AlpcGetMessageAttribute address: 0x775be5d0
AlpcGetMessageFromCompletionList address: 0x77672150
AlpcGetOutstandingCompletionListMessageCount address: 0x776722c0
AlpcInitializeMessageAttribute address: 0x775be590
AlpcMaxAllowedMessageLength address: 0x776722e0
AlpcRegisterCompletionList address: 0x776722f0
AlpcRegisterCompletionListWorkerThread address: 0x77672340
AlpcRundownCompletionList address: 0x776723c0
AlpcUnregisterCompletionList address: 0x776723e0
AlpcUnregisterCompletionListWorkerThread address: 0x77672400
ApiSetQueryApiSetPresence address: 0x77615cb0
CsrAllocateCaptureBuffer address: 0x77671e10
CsrAllocateMessagePointer address: 0x77671e20
CsrCaptureMessageBuffer address: 0x77671e30
CsrCaptureMessageMultiUnicodeStringsInPlace address: 0x77671e40
CsrCaptureMessageString address: 0x77671ed0
CsrCaptureTimeout address: 0x77671f20
CsrClientCallServer address: 0x77671f60
CsrClientConnectToServer address: 0x7760e910
CsrFreeCaptureBuffer address: 0x77671f70
CsrGetProcessId address: 0x77671f80
CsrIdentifyAlertableThread address: 0x77671f90
CsrSetPriorityClass address: 0x77664420
CsrVerifyRegion address: 0x77671fa0
DbgBreakPoint address: 0x775d6de0
DbgPrint address: 0x7761dc70
DbgPrintEx address: 0x7761f9a0
DbgPrintReturnControlC address: 0x77672480
DbgPrompt address: 0x776724b0
DbgQueryDebugFilterState address: 0x776724f0
DbgSetDebugFilterState address: 0x77672500
DbgUiConnectToDbg address: 0x77660f30
DbgUiContinue address: 0x77660f90
DbgUiConvertStateChangeStructure address: 0x77660fc0
DbgUiDebugActiveProcess address: 0x77661170
DbgUiGetThreadDebugObject address: 0x776611c0
DbgUiIssueRemoteBreakin address: 0x776611e0
DbgUiRemoteBreakin address: 0x77661230
DbgUiSetThreadDebugObject address: 0x776612b0
DbgUiStopDebugging address: 0x776612d0
DbgUiWaitStateChange address: 0x77661300
DbgUserBreakPoint address: 0x775d6dd0
EtwCreateTraceInstanceId address: 0x7769e290
EtwDeliverDataBlock address: 0x77629620
EtwEnumerateProcessRegGuids address: 0x7769e500
EtwEventActivityIdControl address: 0x775cad00
EtwEventEnabled address: 0x775ce320
EtwEventProviderEnabled address: 0x7769e630
EtwEventRegister address: 0x77612b40
EtwEventSetInformation address: 0x7769e710
EtwEventUnregister address: 0x7761d6e0
EtwEventWrite address: 0x775ce910
EtwEventWriteEndScenario address: 0x7769f190
EtwEventWriteEx address: 0x7769e790
EtwEventWriteFull address: 0x7769e7c0
EtwEventWriteNoRegistration address: 0x77621010
EtwEventWriteStartScenario address: 0x7769f270
EtwEventWriteString address: 0x7769e7f0
EtwEventWriteTransfer address: 0x7769ea50
EtwGetTraceEnableFlags address: 0x77627fc0
EtwGetTraceEnableLevel address: 0x77628000
EtwGetTraceLoggerHandle address: 0x77627f80
EtwLogTraceEvent address: 0x7769f3d0
EtwNotificationRegister address: 0x77612830
EtwNotificationUnregister address: 0x7761d610
EtwProcessPrivateLoggerRequest address: 0x7769fb60
EtwRegisterSecurityProvider address: 0x7769ea80
EtwRegisterTraceGuidsA address: 0x775cc120
EtwRegisterTraceGuidsW address: 0x7761a0b0
EtwReplyNotification address: 0x776a2940
EtwSendNotification address: 0x776229f0
EtwSetMark address: 0x77620cb0
EtwTraceEventInstance address: 0x7769f440
EtwTraceMessage address: 0x7762a8d0
